date,Adj Close,volume
2021-04-30,39.84,116728743.0
2021-04-29,38.99,82660721.0
2021-04-28,41.19,57639580.0
2021-04-27,41.21,69998797.0
2021-04-26,42.62,88233498.0
2021-04-23,41.08,70578024.0
2021-04-22,39.57,115802700.0
2021-04-21,38.9,77449226.0
2021-04-20,36.93,71208639.0
2021-04-19,36.78,92190701.0
2021-04-16,36.09,84477372.0
2021-04-15,35.66,100437437.0
2021-04-14,37.02,78453961.0
2021-04-13,38.48,62005707.0
2021-04-12,37.14,53428087.0
2021-04-09,38.12,69272695.0
2021-04-08,38.7,63691974.0
2021-04-07,37.27,80022787.0
2021-04-06,40.0,67969401.0
2021-04-05,39.31,71418397.0
2021-04-01,39.66,116305475.0
2021-03-31,38.98,98298413.0
2021-03-30,37.55,106153482.0
2021-03-29,35.51,83188208.0
2021-03-26,36.13,163039674.0
2021-03-25,37.94,118082037.0
2021-03-24,36.96,130695023.0
2021-03-23,41.18,58542301.0
2021-03-22,42.94,72838501.0
2021-03-19,43.35,97657203.0
2021-03-18,41.63,71356100.0
2021-03-17,44.76,96149982.0
2021-03-16,43.68,84361397.0
2021-03-15,44.93,74435728.0
2021-03-12,45.5,113460142.0
2021-03-11,46.03,134788014.0
2021-03-10,41.32,190801837.0
2021-03-09,41.35,176602616.0
2021-03-08,35.21,143074823.0
2021-03-05,38.11,270803185.0
2021-03-04,39.28,205872717.0
2021-03-03,41.53,107863416.0
2021-03-02,43.29,161334043.0
2021-03-01,49.76,94238457.0
2021-02-26,45.78,97977486.0
2021-02-25,46.81,93485093.0
2021-02-24,51.86,82488559.0
2021-02-23,49.11,142544334.0
2021-02-22,50.68,67587866.0
2021-02-19,55.04,43020690.0
2021-02-18,54.43,62505700.0
2021-02-17,57.32,63784554.0
2021-02-16,59.23,55084124.0
2021-02-12,59.85,40233076.0
2021-02-11,60.27,55732763.0
2021-02-10,61.26,89812853.0
2021-02-09,62.84,96407230.0
2021-02-08,59.07,64264889.0
2021-02-05,56.67,43057521.0
2021-02-04,57.6,48667912.0
2021-02-03,57.98,80122323.0
2021-02-02,55.77,65568667.0
2021-02-01,56.99,79878684.0
2021-01-29,57.0,78678189.0
2021-01-28,58.37,73955136.0
2021-01-27,57.15,73078254.0
2021-01-26,60.31,70393251.0
2021-01-25,59.99,111986446.0
2021-01-22,61.95,133918072.0
2021-01-21,58.34,73119519.0
2021-01-20,57.71,94983634.0
2021-01-19,58.44,99561083.0
2021-01-15,56.27,132247850.0
2021-01-14,60.87,99338396.0
2021-01-13,62.15,116059201.0
2021-01-12,62.04,182471404.0
2021-01-11,62.7,279770329.0
2021-01-08,58.92,218512753.0
2021-01-07,54.28,119429215.0
2021-01-06,50.5,176397696.0
2021-01-05,53.2,147474785.0
2021-01-04,53.49,213109730.0
2020-12-31,48.74,129344311.0
2020-12-30,48.38,116691714.0
2020-12-29,46.14,120689925.0
2020-12-28,44.06,103774840.0
2020-12-24,45.77,60582516.0
2020-12-23,47.01,81247871.0
2020-12-22,47.58,117428420.0
2020-12-21,48.95,132558077.0
2020-12-18,46.72,126251125.0
